transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,total_amount,payment_method,status,is_anomaly,hour,day_of_week,month,month_name,quarter
TRX100018,2023-12-31,CUST10121,PROD1012,2,1050.68,3692.85,Карта,Завершен,False,0,Вс,12,Декабрь,4
TRX100019,2023-04-07,CUST10073,PROD1012,3,1050.68,5052.71,Онлайн,Завершен,False,0,Пт,4,Апрель,2
TRX100020,2023-03-06,CUST10111,PROD1000,1,1005.72,7402.043919067991,Карта,Завершен,True,0,Пн,3,Март,1
TRX100021,2023-02-13,CUST10178,PROD1020,1,1703.96,1808.22,Онлайн,Завершен,False,0,Пн,2,Февраль,1
TRX100022,2023-08-06,CUST10098,PROD1005,3,385.1,1144.76,Наличные,Завершен,False,0,Вс,8,Август,3
TRX100023,2023-04-26,CUST10060,PROD1013,1,861.39,879.41,Онлайн,Завершен,False,0,Ср,4,Апрель,2
TRX100024,2023-09-14,CUST10009,PROD1013,2,861.39,1869.76,Онлайн,Завершен,False,0,Чт,9,Сентябрь,3
TRX100025,2023-09-05,CUST10036,PROD1011,3,130.04,359.94,Онлайн,Завершен,False,0,Вт,9,Сентябрь,3
TRX100026,2023-09-27,CUST10062,PROD1014,2,1566.78,3144.18,Наличные,Завершен,False,0,Ср,9,Сентябрь,3
TRX100027,2023-11-19,CUST10148,PROD1021,3,1105.42,6518.93,Наличные,Завершен,False,0,Вс,11,Ноябрь,4
TRX100028,2023-11-10,CUST10131,PROD1028,1,347.23,504.55,Наличные,Завершен,False,0,Пт,11,Ноябрь,4
TRX100029,2023-10-21,CUST10074,PROD1010,3,1085.82,4809.0,Карта,Завершен,False,0,Сб,10,Октябрь,4
TRX100030,2023-01-19,CUST10066,PROD1029,3,4197.25,12837.63,Карта,Завершен,False,0,Чт,1,Январь,1
TRX100031,2023-11-19,CUST10188,PROD1018,2,2672.99,8985.89,Онлайн,Отменен,False,0,Вс,11,Ноябрь,4
TRX100032,2023-01-14,CUST10071,PROD1015,2,424.44,1167.0,Наличные,Завершен,False,0,Сб,1,Январь,1
TRX100033,2023-03-09,CUST10154,PROD1008,3,1523.39,4364.71,Карта,Завершен,False,0,Чт,3,Март,1
TRX100034,2023-10-30,CUST10179,PROD1004,3,697.91,2160.38,Карта,Завершен,False,0,Пн,10,Октябрь,4
TRX100035,2023-09-06,CUST10152,PROD1025,1,871.73,8667.37054077559,Карта,Отменен,True,0,Ср,9,Сентябрь,3
TRX100036,2023-09-11,CUST10042,PROD1024,2,1082.72,2114.84,Карта,Завершен,False,0,Пн,9,Сентябрь,3
TRX100037,2023-10-23,CUST10029,PROD1026,3,1660.58,4827.38,Карта,Завершен,False,0,Пн,10,Октябрь,4
TRX100038,2023-03-27,CUST10136,PROD1012,2,1050.68,2091.37,Карта,Отменен,False,0,Пн,3,Март,1
TRX100039,2023-07-14,CUST10111,PROD1022,3,4668.45,20546.14,Карта,Завершен,False,0,Пт,7,Июль,3
TRX100040,2023-05-28,CUST10010,PROD1012,2,1050.68,2176.38,Карта,Завершен,False,0,Вс,5,Май,2
TRX100041,2023-09-30,CUST10069,PROD1011,3,130.04,638.57,Наличные,Отменен,False,0,Сб,9,Сентябрь,3
TRX100042,2023-05-19,CUST10197,PROD1025,2,871.73,2405.07,Онлайн,Завершен,False,0,Пт,5,Май,2
TRX100043,2023-05-04,CUST10176,PROD1021,3,1105.42,3375.11,Карта,Завершен,False,0,Чт,5,Май,2
TRX100044,2023-06-10,CUST10025,PROD1000,3,1005.72,4682.15,Онлайн,Завершен,False,0,Сб,6,Июнь,2
TRX100045,2023-02-23,CUST10008,PROD1014,3,1566.78,4560.76,Карта,Завершен,False,0,Чт,2,Февраль,1
TRX100046,2023-11-14,CUST10153,PROD1001,1,4609.89,9025.53,Онлайн,Завершен,False,0,Вт,11,Ноябрь,4
TRX100047,2023-03-04,CUST10195,PROD1003,3,1956.8,8077.18,Онлайн,Завершен,False,0,Сб,3,Март,1
TRX100048,2023-10-17,CUST10169,PROD1028,1,347.23,320.2,Карта,Завершен,False,0,Вт,10,Октябрь,4
TRX100049,2023-11-24,CUST10170,PROD1029,2,4197.25,13838.96,Наличные,Завершен,False,0,Пт,11,Ноябрь,4
TRX100050,2023-05-12,CUST10085,PROD1024,1,1082.72,1485.71,Карта,Завершен,False,0,Пт,5,Май,2
TRX100051,2023-05-13,CUST10156,PROD1005,2,385.1,1141.57,Наличные,Отменен,False,0,Сб,5,Май,2
TRX100052,2023-04-02,CUST10157,PROD1015,3,424.44,1173.6,Онлайн,Завершен,False,0,Вс,4,Апрель,2
TRX100053,2023-02-24,CUST10198,PROD1022,2,4668.45,46561.15225319207,Наличные,Завершен,True,0,Пт,2,Февраль,1
TRX100054,2023-01-10,CUST10038,PROD1004,2,697.91,4696.453255441203,Онлайн,Завершен,True,0,Вт,1,Январь,1
TRX100055,2023-06-18,CUST10122,PROD1018,2,2672.99,4815.34,Наличные,Завершен,False,0,Вс,6,Июнь,2
TRX100056,2023-07-26,CUST10098,PROD1024,3,1082.72,3451.02,Онлайн,Завершен,False,0,Ср,7,Июль,3
TRX100057,2023-09-04,CUST10077,PROD1018,1,2672.99,2691.86,Наличные,Завершен,False,0,Пн,9,Сентябрь,3
TRX100058,2023-01-29,CUST10020,PROD1020,3,1703.96,4693.39,Наличные,Отменен,False,0,Вс,1,Январь,1
TRX100059,2023-05-29,CUST10178,PROD1006,3,3083.34,49221.12342769973,Наличные,Завершен,True,0,Пн,5,Май,2
TRX100060,2023-02-24,CUST10188,PROD1022,3,4668.45,20416.7,Карта,Завершен,False,0,Пт,2,Февраль,1
TRX100061,2023-03-13,CUST10099,PROD1006,1,3083.34,2790.65,Карта,Завершен,False,0,Пн,3,Март,1
TRX100062,2023-10-04,CUST10004,PROD1009,3,3115.01,9344.44,Карта,Завершен,False,0,Ср,10,Октябрь,4
TRX100063,2023-06-23,CUST10170,PROD1010,1,1085.82,6592.426244133674,Онлайн,Завершен,True,0,Пт,6,Июнь,2
TRX100064,2023-08-23,CUST10018,PROD1027,3,1625.75,5242.32,Карта,Завершен,False,0,Ср,8,Август,3
TRX100065,2023-03-14,CUST10062,PROD1020,2,1703.96,3080.12,Онлайн,Завершен,False,0,Вт,3,Март,1
TRX100066,2023-11-29,CUST10116,PROD1000,1,1005.72,8714.197390936386,Онлайн,Завершен,True,0,Ср,11,Ноябрь,4
TRX100067,2023-03-29,CUST10157,PROD1002,3,2331.16,7437.99,Карта,Завершен,False,0,Ср,3,Март,1
TRX100068,2023-02-02,CUST10102,PROD1013,1,861.39,833.37,Наличные,Завершен,False,0,Чт,2,Февраль,1
TRX100069,2023-03-03,CUST10054,PROD1018,3,2672.99,12138.84,Карта,Отменен,False,0,Пт,3,Март,1
TRX100070,2023-10-31,CUST10043,PROD1010,1,1085.82,990.97,Онлайн,Завершен,False,0,Вт,10,Октябрь,4
TRX100071,2023-07-09,CUST10025,PROD1005,3,385.1,1141.13,Онлайн,Завершен,False,0,Вс,7,Июль,3
TRX100072,2023-11-10,CUST10001,PROD1024,2,1082.72,3025.83,Карта,Завершен,False,0,Пт,11,Ноябрь,4
TRX100073,2023-02-15,CUST10197,PROD1020,3,1703.96,5207.71,Наличные,Завершен,False,0,Ср,2,Февраль,1
TRX100074,2023-12-21,CUST10061,PROD1006,1,3083.34,5153.84,Карта,Завершен,False,0,Чт,12,Декабрь,4
TRX100075,2023-11-09,CUST10022,PROD1001,3,4609.89,25372.71,Онлайн,Завершен,False,0,Чт,11,Ноябрь,4
TRX100076,2023-06-04,CUST10135,PROD1013,2,861.39,1552.08,Карта,Завершен,False,0,Вс,6,Июнь,2
TRX100077,2023-11-13,CUST10197,PROD1027,2,1625.75,6158.36,Онлайн,Завершен,False,0,Пн,11,Ноябрь,4
TRX100078,2023-12-04,CUST10121,PROD1008,1,1523.39,2497.0,Наличные,Завершен,False,0,Пн,12,Декабрь,4
TRX100079,2023-04-01,CUST10053,PROD1021,1,1105.42,1798.3,Наличные,Завершен,False,0,Сб,4,Апрель,2
TRX100080,2023-05-09,CUST10189,PROD1019,2,2579.37,5473.58,Карта,Завершен,False,0,Вт,5,Май,2
TRX100081,2023-10-03,CUST10060,PROD1005,1,385.1,407.09,Онлайн,Завершен,False,0,Вт,10,Октябрь,4
TRX100082,2023-08-16,CUST10083,PROD1018,3,2672.99,7739.87,Карта,Завершен,False,0,Ср,8,Август,3
TRX100083,2023-02-26,CUST10096,PROD1007,2,2856.91,5254.5,Карта,Завершен,False,0,Вс,2,Февраль,1
TRX100084,2023-02-07,CUST10156,PROD1018,2,2672.99,5329.31,Наличные,Завершен,False,0,Вт,2,Февраль,1
TRX100085,2023-04-02,CUST10069,PROD1011,2,130.04,241.17,Карта,Завершен,False,0,Вс,4,Апрель,2
TRX100086,2023-06-21,CUST10119,PROD1001,1,4609.89,4787.1,Наличные,Завершен,False,0,Ср,6,Июнь,2
TRX100087,2023-08-03,CUST10163,PROD1024,1,1082.72,1048.85,Онлайн,Завершен,False,0,Чт,8,Август,3
TRX100088,2023-03-29,CUST10125,PROD1017,3,254.98,819.25,Карта,Завершен,False,0,Ср,3,Март,1
TRX100089,2023-10-30,CUST10063,PROD1026,2,1660.58,19767.94099003415,Наличные,Завершен,True,0,Пн,10,Октябрь,4
TRX100090,2023-08-11,CUST10146,PROD1007,3,2856.91,13863.56,Карта,Завершен,False,0,Пт,8,Август,3
TRX100091,2023-08-02,CUST10108,PROD1001,1,4609.89,5062.83,Онлайн,Завершен,False,0,Ср,8,Август,3
TRX100092,2023-07-21,CUST10061,PROD1025,2,871.73,2771.06,Карта,Завершен,False,0,Пт,7,Июль,3
TRX100093,2023-10-13,CUST10075,PROD1022,1,4668.45,7327.3,Карта,Завершен,False,0,Пт,10,Октябрь,4
TRX100094,2023-11-28,CUST10146,PROD1000,1,1005.72,1802.98,Онлайн,Завершен,False,0,Вт,11,Ноябрь,4
TRX100095,2023-10-26,CUST10047,PROD1014,1,1566.78,1555.42,Наличные,Завершен,False,0,Чт,10,Октябрь,4
TRX100096,2023-11-17,CUST10176,PROD1022,2,4668.45,14379.02,Наличные,Завершен,False,0,Пт,11,Ноябрь,4
TRX100097,2023-09-29,CUST10138,PROD1009,1,3115.01,4603.27,Онлайн,Отменен,False,0,Пт,9,Сентябрь,3
TRX100098,2023-04-17,CUST10131,PROD1002,3,2331.16,7161.96,Онлайн,Отменен,False,0,Пн,4,Апрель,2
TRX100099,2023-07-06,CUST10093,PROD1003,1,1956.8,1910.99,Карта,Завершен,False,0,Чт,7,Июль,3
TRX100100,2023-11-28,CUST10085,PROD1022,3,4668.45,23026.51,Карта,Завершен,False,0,Вт,11,Ноябрь,4
TRX100101,2023-10-04,CUST10179,PROD1020,1,1703.96,1696.63,Карта,Завершен,False,0,Ср,10,Октябрь,4
TRX100102,2023-04-26,CUST10013,PROD1011,2,130.04,280.78,Карта,Завершен,False,0,Ср,4,Апрель,2
TRX100103,2023-07-10,CUST10181,PROD1014,2,1566.78,3124.93,Онлайн,Завершен,False,0,Пн,7,Июль,3
TRX100104,2023-12-14,CUST10177,PROD1028,3,347.23,1797.14,Карта,Завершен,False,0,Чт,12,Декабрь,4
TRX100105,2023-04-07,CUST10019,PROD1002,2,2331.16,6406.27,Карта,Завершен,False,0,Пт,4,Апрель,2
TRX100106,2023-03-26,CUST10133,PROD1003,2,1956.8,4067.86,Онлайн,Завершен,False,0,Вс,3,Март,1
TRX100107,2023-01-12,CUST10088,PROD1013,2,861.39,1884.57,Наличные,Завершен,False,0,Чт,1,Январь,1
TRX100108,2023-08-16,CUST10059,PROD1020,3,1703.96,4622.65,Онлайн,Завершен,False,0,Ср,8,Август,3
TRX100109,2023-11-27,CUST10124,PROD1013,2,861.39,3149.82,Онлайн,Завершен,False,0,Пн,11,Ноябрь,4
TRX100110,2023-12-07,CUST10033,PROD1016,3,3067.88,17699.4,Наличные,Завершен,False,0,Чт,12,Декабрь,4
TRX100111,2023-03-29,CUST10012,PROD1007,2,2856.91,5695.81,Карта,Завершен,False,0,Ср,3,Март,1
TRX100112,2023-06-30,CUST10137,PROD1014,2,1566.78,5129.21,Наличные,Завершен,False,0,Пт,6,Июнь,2
TRX100113,2023-04-04,CUST10041,PROD1026,1,1660.58,1729.7,Карта,Завершен,False,0,Вт,4,Апрель,2
TRX100114,2023-03-01,CUST10052,PROD1010,1,1085.82,1102.0,Онлайн,Завершен,False,0,Ср,3,Март,1
TRX100115,2023-12-29,CUST10138,PROD1021,1,1105.42,1597.42,Карта,Завершен,False,0,Пт,12,Декабрь,4
TRX100116,2023-10-01,CUST10037,PROD1003,2,1956.8,4242.68,Наличные,Завершен,False,0,Вс,10,Октябрь,4
TRX100117,2023-06-13,CUST10165,PROD1000,1,1005.72,1100.29,Онлайн,Завершен,False,0,Вт,6,Июнь,2
TRX100118,2023-06-01,CUST10146,PROD1028,2,347.23,665.27,Онлайн,Отменен,False,0,Чт,6,Июнь,2
TRX100119,2023-03-17,CUST10187,PROD1023,3,2650.83,12899.45,Наличные,Завершен,False,0,Пт,3,Март,1
TRX100120,2023-01-21,CUST10056,PROD1021,1,1105.42,1675.03,Наличные,Завершен,False,0,Сб,1,Январь,1
TRX100121,2023-07-02,CUST10056,PROD1010,1,1085.82,989.19,Наличные,Завершен,False,0,Вс,7,Июль,3
TRX100122,2023-04-11,CUST10022,PROD1002,1,2331.16,2349.07,Онлайн,Завершен,False,0,Вт,4,Апрель,2
TRX100123,2023-07-21,CUST10170,PROD1015,1,424.44,613.45,Наличные,Отменен,False,0,Пт,7,Июль,3
TRX100124,2023-07-23,CUST10072,PROD1022,1,4668.45,4998.79,Наличные,Завершен,False,0,Вс,7,Июль,3
TRX100125,2023-06-29,CUST10113,PROD1014,2,1566.78,3368.14,Онлайн,Завершен,False,0,Чт,6,Июнь,2
TRX100126,2023-08-01,CUST10186,PROD1009,2,3115.01,5811.1,Наличные,Завершен,False,0,Вт,8,Август,3
TRX100127,2023-03-13,CUST10134,PROD1019,3,2579.37,7097.52,Наличные,Завершен,False,0,Пн,3,Март,1
TRX100128,2023-02-03,CUST10044,PROD1024,3,1082.72,35499.19074447524,Онлайн,Завершен,True,0,Пт,2,Февраль,1
TRX100129,2023-08-25,CUST10097,PROD1018,3,2672.99,12642.49,Наличные,Завершен,False,0,Пт,8,Август,3
TRX100130,2023-10-11,CUST10126,PROD1001,2,4609.89,9815.01,Онлайн,Завершен,False,0,Ср,10,Октябрь,4
TRX100131,2023-08-26,CUST10163,PROD1000,1,1005.72,1596.45,Онлайн,Завершен,False,0,Сб,8,Август,3
TRX100132,2023-08-30,CUST10176,PROD1020,1,1703.96,1760.5,Онлайн,Завершен,False,0,Ср,8,Август,3
TRX100133,2023-05-06,CUST10153,PROD1003,1,1956.8,3090.6,Онлайн,Отменен,False,0,Сб,5,Май,2
TRX100134,2023-07-05,CUST10121,PROD1015,3,424.44,1290.02,Онлайн,Завершен,False,0,Ср,7,Июль,3
TRX100135,2023-03-03,CUST10037,PROD1016,2,3067.88,46397.202633558016,Наличные,Завершен,True,0,Пт,3,Март,1
TRX100136,2023-08-25,CUST10162,PROD1004,3,697.91,3051.02,Наличные,Завершен,False,0,Пт,8,Август,3
TRX100137,2023-01-25,CUST10196,PROD1009,2,3115.01,6266.92,Онлайн,Завершен,False,0,Ср,1,Январь,1
TRX100138,2023-04-04,CUST10175,PROD1019,1,2579.37,2709.69,Наличные,Завершен,False,0,Вт,4,Апрель,2
TRX100139,2023-05-19,CUST10036,PROD1022,3,4668.45,21799.38,Карта,Завершен,False,0,Пт,5,Май,2
TRX100140,2023-03-12,CUST10041,PROD1009,3,3115.01,9107.69,Карта,Завершен,False,0,Вс,3,Март,1
TRX100141,2023-04-22,CUST10157,PROD1016,1,3067.88,4345.14,Онлайн,Завершен,False,0,Сб,4,Апрель,2
TRX100142,2023-09-27,CUST10117,PROD1022,3,4668.45,14148.52,Карта,Завершен,False,0,Ср,9,Сентябрь,3
TRX100143,2023-03-01,CUST10035,PROD1029,1,4197.25,3792.11,Наличные,Завершен,False,0,Ср,3,Март,1
TRX100144,2023-11-02,CUST10190,PROD1024,3,1082.72,6396.41,Карта,Завершен,False,0,Чт,11,Ноябрь,4
TRX100145,2023-04-24,CUST10053,PROD1027,1,1625.75,1688.91,Карта,Завершен,False,0,Пн,4,Апрель,2
TRX100146,2023-02-10,CUST10123,PROD1022,2,4668.45,14742.1,Наличные,Завершен,False,0,Пт,2,Февраль,1
TRX100147,2023-01-22,CUST10120,PROD1003,1,1956.8,1773.95,Карта,Завершен,False,0,Вс,1,Январь,1
TRX100148,2023-05-10,CUST10154,PROD1002,1,2331.16,8228.324736819752,Карта,Завершен,True,0,Ср,5,Май,2
TRX100149,2023-10-28,CUST10071,PROD1005,1,385.1,2400.7294135298343,Онлайн,Завершен,True,0,Сб,10,Октябрь,4
TRX100150,2023-06-28,CUST10129,PROD1005,2,385.1,824.91,Онлайн,Завершен,False,0,Ср,6,Июнь,2
TRX100151,2023-02-04,CUST10072,PROD1026,1,1660.58,11432.086935452906,Карта,Завершен,True,0,Сб,2,Февраль,1
TRX100152,2023-10-03,CUST10181,PROD1023,1,2650.83,2438.07,Наличные,Завершен,False,0,Вт,10,Октябрь,4
TRX100153,2023-07-07,CUST10090,PROD1018,3,2672.99,11270.96,Наличные,Завершен,False,0,Пт,7,Июль,3
TRX100154,2023-08-06,CUST10031,PROD1016,1,3067.88,2900.71,Наличные,Отменен,False,0,Вс,8,Август,3
TRX100155,2023-02-26,CUST10184,PROD1004,3,697.91,2091.98,Карта,Завершен,False,0,Вс,2,Февраль,1
TRX100156,2023-02-12,CUST10079,PROD1015,2,424.44,783.64,Онлайн,Завершен,False,0,Вс,2,Февраль,1
TRX100157,2023-08-16,CUST10017,PROD1017,1,254.98,250.25,Наличные,Завершен,False,0,Ср,8,Август,3
TRX100158,2023-12-14,CUST10101,PROD1005,2,385.1,1251.27,Наличные,Завершен,False,0,Чт,12,Декабрь,4
TRX100159,2023-09-25,CUST10151,PROD1021,3,1105.42,3041.01,Карта,Завершен,False,0,Пн,9,Сентябрь,3
TRX100160,2023-03-28,CUST10103,PROD1011,1,130.04,142.4,Карта,Завершен,False,0,Вт,3,Март,1
TRX100161,2023-04-30,CUST10151,PROD1023,2,2650.83,5300.72,Наличные,Завершен,False,0,Вс,4,Апрель,2
TRX100162,2023-11-26,CUST10124,PROD1011,2,130.04,465.88,Онлайн,Завершен,False,0,Вс,11,Ноябрь,4
TRX100163,2023-05-23,CUST10059,PROD1024,1,1082.72,1072.9,Онлайн,Завершен,False,0,Вт,5,Май,2
TRX100164,2023-03-10,CUST10006,PROD1003,1,1956.8,3074.8,Карта,Завершен,False,0,Пт,3,Март,1
TRX100165,2023-07-15,CUST10194,PROD1021,3,1105.42,4802.23,Карта,Завершен,False,0,Сб,7,Июль,3
TRX100166,2023-12-05,CUST10127,PROD1024,3,1082.72,5837.55,Наличные,Завершен,False,0,Вт,12,Декабрь,4
TRX100167,2023-09-16,CUST10195,PROD1017,2,254.98,741.02,Карта,Завершен,False,0,Сб,9,Сентябрь,3
TRX100168,2023-08-09,CUST10009,PROD1012,1,1050.68,1040.2,Карта,Завершен,False,0,Ср,8,Август,3
TRX100169,2023-04-01,CUST10125,PROD1021,3,1105.42,5332.9,Наличные,Завершен,False,0,Сб,4,Апрель,2
TRX100170,2023-03-10,CUST10125,PROD1022,2,4668.45,13694.66,Онлайн,Завершен,False,0,Пт,3,Март,1
TRX100171,2023-10-11,CUST10129,PROD1017,3,254.98,775.99,Карта,Завершен,False,0,Ср,10,Октябрь,4
TRX100172,2023-07-20,CUST10196,PROD1015,2,424.44,864.34,Наличные,Завершен,False,0,Чт,7,Июль,3
TRX100173,2023-06-14,CUST10189,PROD1000,1,1005.72,1023.92,Онлайн,Завершен,False,0,Ср,6,Июнь,2
TRX100174,2023-01-14,CUST10105,PROD1010,3,1085.82,4769.48,Наличные,Отменен,False,0,Сб,1,Январь,1
TRX100175,2023-01-29,CUST10176,PROD1007,3,2856.91,8138.1,Карта,Завершен,False,0,Вс,1,Январь,1
TRX100176,2023-06-06,CUST10168,PROD1010,1,1085.82,1014.11,Наличные,Завершен,False,0,Вт,6,Июнь,2
TRX100177,2023-10-18,CUST10081,PROD1028,3,347.23,6446.794524302959,Наличные,Завершен,True,0,Ср,10,Октябрь,4
TRX100178,2023-10-20,CUST10172,PROD1010,2,1085.82,3304.72,Карта,Завершен,False,0,Пт,10,Октябрь,4
TRX100179,2023-06-22,CUST10076,PROD1016,2,3067.88,6517.97,Наличные,Завершен,False,0,Чт,6,Июнь,2
TRX100180,2023-08-12,CUST10137,PROD1015,1,424.44,653.91,Карта,Завершен,False,0,Сб,8,Август,3
TRX100181,2023-05-28,CUST10159,PROD1001,2,4609.89,8846.05,Онлайн,Завершен,False,0,Вс,5,Май,2
TRX100182,2023-02-17,CUST10145,PROD1027,3,1625.75,7430.29,Онлайн,Завершен,False,0,Пт,2,Февраль,1
TRX100183,2023-09-01,CUST10129,PROD1006,2,3083.34,8967.55,Наличные,Завершен,False,0,Пт,9,Сентябрь,3
TRX100184,2023-08-10,CUST10131,PROD1017,3,254.98,736.39,Наличные,Завершен,False,0,Чт,8,Август,3
TRX100185,2023-12-10,CUST10047,PROD1005,3,385.1,2237.96,Онлайн,Завершен,False,0,Вс,12,Декабрь,4
TRX100186,2023-09-13,CUST10163,PROD1021,1,1105.42,1207.59,Онлайн,Завершен,False,0,Ср,9,Сентябрь,3
TRX100187,2023-11-11,CUST10093,PROD1029,2,4197.25,12758.25,Наличные,Завершен,False,0,Сб,11,Ноябрь,4
TRX100188,2023-03-17,CUST10105,PROD1004,1,697.91,1098.46,Наличные,Завершен,False,0,Пт,3,Март,1
TRX100189,2023-02-02,CUST10041,PROD1006,3,3083.34,9890.06,Наличные,Завершен,False,0,Чт,2,Февраль,1
TRX100190,2023-12-18,CUST10062,PROD1007,3,2856.91,15136.87,Наличные,Завершен,False,0,Пн,12,Декабрь,4
TRX100191,2023-08-26,CUST10051,PROD1017,2,254.98,840.1,Карта,Отменен,False,0,Сб,8,Август,3
TRX100192,2023-05-20,CUST10045,PROD1000,1,1005.72,1435.68,Онлайн,Завершен,False,0,Сб,5,Май,2
TRX100193,2023-01-22,CUST10080,PROD1015,3,424.44,1345.19,Онлайн,Завершен,False,0,Вс,1,Январь,1
TRX100194,2023-06-02,CUST10023,PROD1028,1,347.23,568.25,Наличные,Завершен,False,0,Пт,6,Июнь,2
TRX100195,2023-03-13,CUST10170,PROD1003,1,1956.8,1984.58,Онлайн,Завершен,False,0,Пн,3,Март,1
TRX100196,2023-09-26,CUST10080,PROD1015,2,424.44,914.17,Наличные,Завершен,False,0,Вт,9,Сентябрь,3
TRX100197,2023-10-27,CUST10055,PROD1012,3,1050.68,5017.27,Карта,Отменен,False,0,Пт,10,Октябрь,4
TRX100198,2023-02-24,CUST10150,PROD1006,1,3083.34,5059.69,Карта,Завершен,False,0,Пт,2,Февраль,1
TRX100199,2023-09-09,CUST10121,PROD1011,3,130.04,608.54,Онлайн,Завершен,False,0,Сб,9,Сентябрь,3
TRX100200,2023-05-07,CUST10094,PROD1028,2,347.23,733.94,Наличные,Завершен,False,0,Вс,5,Май,2
TRX100201,2023-01-11,CUST10013,PROD1028,3,347.23,1063.74,Онлайн,Завершен,False,0,Ср,1,Январь,1
TRX100202,2023-12-10,CUST10092,PROD1008,1,1523.39,2771.02,Онлайн,Отменен,False,0,Вс,12,Декабрь,4
TRX100203,2023-03-04,CUST10100,PROD1027,3,1625.75,6930.16,Наличные,Завершен,False,0,Сб,3,Март,1
TRX100204,2023-06-04,CUST10041,PROD1029,1,4197.25,4468.15,Наличные,Завершен,False,0,Вс,6,Июнь,2
TRX100205,2023-11-20,CUST10070,PROD1028,2,347.23,1328.09,Карта,Завершен,False,0,Пн,11,Ноябрь,4
TRX100206,2023-09-09,CUST10025,PROD1023,2,2650.83,7814.06,Карта,Завершен,False,0,Сб,9,Сентябрь,3
TRX100207,2023-12-24,CUST10140,PROD1016,2,3067.88,10086.53,Онлайн,Завершен,False,0,Вс,12,Декабрь,4
TRX100208,2023-06-17,CUST10161,PROD1022,2,4668.45,12681.43,Наличные,Завершен,False,0,Сб,6,Июнь,2
TRX100209,2023-11-25,CUST10021,PROD1000,1,1005.72,1478.61,Карта,Завершен,False,0,Сб,11,Ноябрь,4
TRX100210,2023-03-22,CUST10033,PROD1016,1,3067.88,3198.92,Онлайн,Завершен,False,0,Ср,3,Март,1
TRX100211,2023-12-18,CUST10034,PROD1025,2,871.73,3414.03,Наличные,Завершен,False,0,Пн,12,Декабрь,4
TRX100212,2023-03-30,CUST10106,PROD1018,3,2672.99,8543.04,Наличные,Завершен,False,0,Чт,3,Март,1
TRX100213,2023-04-04,CUST10005,PROD1028,2,347.23,677.42,Карта,Завершен,False,0,Вт,4,Апрель,2
TRX100214,2023-10-13,CUST10050,PROD1019,3,2579.37,11901.12,Наличные,Отменен,False,0,Пт,10,Октябрь,4
TRX100215,2023-12-26,CUST10022,PROD1001,1,4609.89,8133.56,Наличные,Завершен,False,0,Вт,12,Декабрь,4
TRX100216,2023-03-29,CUST10116,PROD1003,3,1956.8,5299.93,Онлайн,Завершен,False,0,Ср,3,Март,1
